iter	RMSE
0	1522165.653
1	1396158.581
2	1269337.801
3	1165182.655
4	1073076.151
5	1007403.771
6	952429.702977	901343.634388	865267.35389	904123.1902
10	871571.4393
11	858567.3431
12	828662.2254
13	803744.6637
14	786050.7021
15	776044.2955
16	764944.8291
17	741641.7714
18	728584.5701
19	716037.952
20	698621.1585
21	693458.5948
22	687769.9324
23	685039.6195
24	675697.9314
25	662469.6072
26	652505.0629
27	646378.7994
28	634410.9754
29	629682.6217
30	612025.7014
31	604349.3254
32	602320.7216
33	592180.5694
34	589980.1496
35	586542.5833
36	576230.834
37	569122.347
38	555354.6657
39	553637.787
40	544656.4813
41	538852.6513
42	533468.6044
43	518905.8018
44	517074.8508
45	505001.2314
46	497678.6546
47	487128.8745
48	480475.9242
49	478771.6850	414178.634
51	408429.6514
52	52	461788.1353	53	460909.0354	54	458363.5655	55	461855.955
56	460632.5942
57	458548.962
58	456889.3351
59	443847.7708
60	432282.0352
61	431641.3192
62	430159.0414
63	423922.9279
64	418960.6638
65	415410.8269
66	407710.5447
67	407105.1387
68	398029.7365
69	397526.4614
70	388655.6932
71	386435.2062
72	385244.7904
73	382202.978
74	377549.9695
75	373223.1245
76	370819.8943
77	368461.3873
78	367203.642
79	357870.8381
80	353443.174
81	352367.9457
82	347269.1384
83	346245.8603
84	340281.0826
85	336761.4278
86	330799.6247
87	328542.4939
88	327669.4494
89	323153.5449
90	318027.0478
91	314678.7557
92	310378.402
93	306210.3507
94	304907.0807
95	303903.8725
96	303570.9188
97	303316.9872
98	297585.5417
99	293924.9779
8
